"Device ID:-ESP098990, FileName:-1162019-07-23_15H35M13S.csv, Load:-116"
TimeElapsed,Value
0:20:56,2.719
0:21:0,2.719
0:21:4,2.719
0:21:8,2.719
0:21:12,2.719
0:21:16,2.719
0:21:20,2.719
0:21:24,2.719
0:21:28,2.719
0:21:32,2.719
0:21:36,2.719
0:21:40,2.716
0:21:44,2.719
0:21:48,2.719
0:21:52,2.716
0:21:56,2.716
0:22:0,2.716
0:22:4,2.716
0:22:8,2.716
0:22:12,2.719
0:22:16,2.716
0:22:20,2.716
0:22:24,2.716
0:22:28,2.716
0:22:32,2.716
0:22:36,2.716
0:22:40,2.716
0:22:44,2.716
0:22:48,2.716
0:22:52,2.716
0:22:56,2.716
0:23:0,2.716
0:23:4,2.716
0:23:8,2.716
0:23:12,2.716
0:23:16,2.716
0:23:20,2.713
0:23:24,2.716
0:23:28,2.716
0:23:32,2.716
0:23:36,2.713
0:23:40,2.713
0:23:44,2.713
0:23:48,2.713
0:23:52,2.713
0:23:56,2.713
0:24:0,2.713
0:24:4,2.713
0:24:8,2.713
0:24:12,2.713
0:24:16,2.713
0:24:20,2.713
0:24:24,2.713
0:24:28,2.713
0:24:32,2.713
0:24:36,2.713
0:24:40,2.713
0:24:44,2.713
0:24:48,2.713
0:24:52,2.713
0:24:56,2.713
0:25:0,2.713
0:25:4,2.713
0:25:8,2.713
0:25:12,2.713
0:25:16,2.713
0:25:20,2.713
0:25:24,2.713
0:25:28,2.713
0:25:32,2.71
0:25:36,2.713
0:25:40,2.713
0:25:44,2.71
0:25:48,2.71
0:25:52,2.71
0:25:56,2.71
0:26:0,2.71
0:26:4,2.71
0:26:8,2.71
0:26:12,2.71
0:26:16,2.71
0:26:20,2.71
0:26:24,2.71
0:26:28,2.71
0:26:32,2.71
0:26:36,2.71
0:26:40,2.71
0:26:44,2.71
0:26:48,2.71
0:26:52,2.71
0:26:56,2.707
0:27:0,2.71
0:27:4,2.71
0:27:8,2.71
0:27:12,2.71
0:27:16,2.707
0:27:20,2.707
0:27:24,2.71
0:27:28,2.707
0:27:32,2.707
0:27:36,2.707
0:27:40,2.707
0:27:44,2.707
0:27:48,2.707
0:27:52,2.707
0:27:56,2.707
0:28:0,2.707
0:28:4,2.707
0:28:8,2.707
0:28:12,2.707
0:28:16,2.707
0:28:20,2.707
0:28:24,2.707
0:28:28,2.707
0:28:32,2.707
0:28:36,2.707
0:28:40,2.707
0:28:44,2.707
0:28:48,2.707
0:28:52,2.701
0:28:56,2.707
0:29:0,2.707
0:29:4,2.707
0:29:8,2.707
0:29:12,2.707
0:29:16,2.701
0:29:20,2.701
0:29:24,2.701
0:29:28,2.701
0:29:32,2.701
0:29:36,2.701
0:29:40,2.701
0:29:44,2.701
0:29:48,2.701
0:29:52,2.701
0:29:56,2.701
0:30:0,2.701
0:30:4,2.701
0:30:8,2.698
0:30:12,2.701
0:30:16,2.701
0:30:20,2.698
0:30:24,2.701
0:30:28,2.698
0:30:32,2.698
0:30:36,2.701
0:30:40,2.701
0:30:44,2.698
0:30:48,2.698
0:30:52,2.698
0:30:56,2.698
0:31:0,2.698
0:31:4,2.698
0:31:8,2.698
0:31:12,2.698
0:31:16,2.698
0:31:20,2.698
0:31:24,2.698
0:31:28,2.698
0:31:32,2.698
0:31:36,2.698
0:31:40,2.698
0:31:44,2.698
0:31:48,2.698
0:31:52,2.698
0:31:56,2.698
0:32:0,2.698
0:32:4,2.698
0:32:8,2.698
0:32:12,2.698
0:32:16,2.698
0:32:20,2.698
0:32:24,2.698
0:32:28,2.695
0:32:32,2.698
0:32:36,2.698
0:32:40,2.698
0:32:44,2.695
0:32:48,2.698
0:32:52,2.698
0:32:56,2.698
0:33:0,2.698
0:33:4,2.698
0:33:8,2.695
0:33:12,2.695
0:33:16,2.695
0:33:20,2.695
0:33:24,2.695
0:33:28,2.695
0:33:32,2.695
0:33:36,2.695
0:33:40,2.695
0:33:44,2.695
0:33:48,2.695
0:33:52,2.695
0:33:56,2.695
0:34:0,2.695
0:34:4,2.695
0:34:8,2.692
0:34:12,2.692
0:34:16,2.692
0:34:20,2.692
0:34:24,2.692
0:34:28,2.692
0:34:32,2.692
0:34:36,2.692
0:34:40,2.692
0:34:44,2.692
0:34:48,2.692
0:34:52,2.692
0:34:56,2.689
0:35:0,2.692
0:35:4,2.692
0:35:8,2.692
0:35:12,2.692
0:35:16,2.692
0:35:20,2.692
0:35:24,2.692
0:35:28,2.692
0:35:32,2.692
0:35:36,2.692
0:35:40,2.692
0:35:44,2.692
0:35:48,2.692
0:35:52,2.692
0:35:56,2.692
0:36:0,2.692
0:36:4,2.689
0:36:8,2.689
0:36:12,2.689
0:36:16,2.689
0:36:20,2.689
0:36:24,2.689
0:36:28,2.689
0:36:32,2.689
0:36:36,2.689
0:36:40,2.689
0:36:44,2.689
0:36:48,2.692
0:36:52,2.689
0:36:56,2.689
0:37:0,2.689
0:37:4,2.689
0:37:8,2.689
0:37:12,2.689
0:37:16,2.689
0:37:20,2.689
0:37:24,2.689
0:37:28,2.689
0:37:32,2.689
0:37:36,2.689
0:37:40,2.689
0:37:44,2.689
0:37:48,2.689
0:37:52,2.689
0:37:56,2.689
0:38:0,2.689
0:38:4,2.689
0:38:8,2.689
0:38:12,2.689
0:38:16,2.689
0:38:20,2.689
0:38:24,2.689
0:38:28,2.689
0:38:32,2.689
0:38:36,2.689
0:38:40,2.689
0:38:44,2.689
0:38:48,2.687
0:38:52,2.687
0:38:56,2.689
0:39:0,2.689
0:39:4,2.689
0:39:8,2.687
0:39:12,2.687
0:39:16,2.687
0:39:20,2.687
0:39:24,2.687
0:39:28,2.687
0:39:32,2.687
0:39:36,2.687
0:39:40,2.687
0:39:44,2.687
0:39:48,2.684
0:39:52,2.687
0:39:56,2.684
0:40:0,2.687
0:40:4,2.687
0:40:8,2.684
0:40:12,2.684
0:40:16,2.684
0:40:20,2.684
0:40:24,2.684
0:40:28,2.684
0:40:32,2.684
0:40:36,2.684
0:40:40,2.684
0:40:44,2.684
0:40:48,2.684
0:40:52,2.684
0:40:56,2.684
0:41:0,2.684
0:41:4,2.684
0:41:8,2.684
0:41:12,2.684
0:41:16,2.684
0:41:20,2.684
0:41:24,2.684
0:41:28,2.684
0:41:32,2.684
0:41:36,2.684
0:41:40,2.684
0:41:44,2.684
0:41:48,2.684
0:41:52,2.684
0:41:56,2.684
0:42:0,2.684
0:42:4,2.684
0:42:8,2.684
0:42:12,2.681
0:42:16,2.684
0:42:20,2.684
0:42:24,2.681
0:42:28,2.684
0:42:32,2.684
0:42:36,2.681
0:42:40,2.681
0:42:44,2.681
0:42:48,2.681
0:42:52,2.681
0:42:56,2.681
0:43:0,2.681
0:43:4,2.681
0:43:8,2.681
0:43:12,2.681
0:43:16,2.681
0:43:20,2.681
0:43:24,2.681
0:43:28,2.681
0:43:32,2.681
0:43:36,2.681
0:43:40,2.681
0:43:44,2.681
0:43:48,2.681
0:43:52,2.681
0:43:56,2.681
0:44:0,2.681
0:44:4,2.681
0:44:8,2.681
0:44:12,2.681
0:44:16,2.681
0:44:20,2.681
0:44:24,2.681
0:44:28,2.678
0:44:32,2.675
0:44:36,2.675
0:44:40,2.675
0:44:44,2.675
0:44:48,2.675
0:44:52,2.675
0:44:56,2.675
0:45:0,2.675
0:45:4,2.675
0:45:8,2.675
0:45:12,2.675
0:45:16,2.675
0:45:20,2.675
0:45:24,2.675
0:45:28,2.675
0:45:32,2.675
0:45:36,2.675
0:45:40,2.675
0:45:44,2.675
0:45:48,2.675
0:45:52,2.675
0:45:56,2.675
0:46:0,2.675
0:46:4,2.675
0:46:8,2.675
0:46:12,2.675
0:46:16,2.675
0:46:20,2.675
0:46:24,2.675
0:46:28,2.675
0:46:32,2.672
0:46:36,2.672
0:46:40,2.675
0:46:44,2.675
0:46:48,2.672
0:46:52,2.672
0:46:56,2.672
0:47:0,2.672
0:47:4,2.672
0:47:8,2.672
0:47:12,2.672
0:47:16,2.672
0:47:20,2.672
0:47:24,2.672
0:47:28,2.672
0:47:32,2.672
0:47:36,2.672
0:47:40,2.672
0:47:44,2.672
0:47:48,2.672
0:47:52,2.672
0:47:56,2.672
0:48:0,2.672
0:48:4,2.672
0:48:8,2.672
0:48:12,2.672
0:48:16,2.672
0:48:20,2.672
0:48:24,2.672
0:48:28,2.672
0:48:32,2.672
0:48:36,2.672
0:48:40,2.672
0:48:44,2.672
0:48:48,2.672
0:48:52,2.672
0:48:56,2.666
0:49:0,2.672
0:49:4,2.672
0:49:8,2.672
0:49:12,2.666
0:49:16,2.672
0:49:20,2.672
0:49:24,2.666
0:49:28,2.663
0:49:32,2.666
0:49:36,2.663
0:49:40,2.666
0:49:44,2.666
0:49:48,2.666
0:49:52,2.666
0:49:56,2.663
0:50:0,2.663
0:50:4,2.663
0:50:8,2.663
0:50:12,2.663
0:50:16,2.663
0:50:20,2.663
0:50:24,2.663
0:50:28,2.663
0:50:32,2.663
0:50:36,2.663
0:50:40,2.663
0:50:44,2.663
0:50:48,2.663
0:50:52,2.663
0:50:56,2.663
0:51:0,2.663
0:51:4,2.663
0:51:8,2.663
0:51:12,2.663
0:51:16,2.663
0:51:20,2.663
0:51:24,2.663
0:51:28,2.663
0:51:32,2.663
0:51:36,2.663
0:51:40,2.663
0:51:44,2.663
0:51:48,2.663
0:51:52,2.663
0:51:56,2.66
0:52:0,2.66
0:52:4,2.663
0:52:8,2.663
0:52:12,2.66
0:52:16,2.66
0:52:20,2.66
0:52:24,2.66
0:52:28,2.66
0:52:32,2.66
0:52:36,2.66
0:52:40,2.66
0:52:44,2.66
0:52:48,2.66
0:52:52,2.66
