"Device ID:-analog, FileName:-analog2322019-07-1807H56M08S.csv"
TimeElapsed,Value
19min 48sec,2.798
19min 52sec,2.798
19min 56sec,2.798
20min,2.795
20min 4sec,2.798
20min 8sec,2.795
20min 12sec,2.795
20min 16sec,2.795
20min 20sec,2.795
20min 24sec,2.795
20min 28sec,2.795
20min 32sec,2.795
20min 36sec,2.795
20min 40sec,2.795
20min 44sec,2.798
20min 48sec,2.795
20min 52sec,2.795
20min 56sec,2.795
21min,2.795
21min 4sec,2.795
21min 8sec,2.792
21min 12sec,2.795
21min 16sec,2.795
21min 20sec,2.792
21min 24sec,2.795
21min 28sec,2.795
21min 32sec,2.792
21min 36sec,2.795
21min 40sec,2.792
21min 44sec,2.792
21min 48sec,2.795
21min 52sec,2.792
21min 56sec,2.795
22min,2.792
22min 4sec,2.792
22min 8sec,2.792
22min 12sec,2.792
22min 16sec,2.792
22min 20sec,2.792
22min 24sec,2.792
22min 28sec,2.789
22min 32sec,2.789
22min 36sec,2.789
22min 40sec,2.792
22min 44sec,2.792
22min 48sec,2.789
22min 52sec,2.789
22min 56sec,2.792
23min,2.789
23min 4sec,2.789
23min 8sec,2.789
23min 12sec,2.789
23min 16sec,2.789
23min 20sec,2.789
23min 24sec,2.789
23min 28sec,2.789
23min 32sec,2.789
23min 36sec,2.789
23min 40sec,2.789
23min 44sec,2.786
23min 48sec,2.789
23min 52sec,2.786
23min 56sec,2.789
24min,2.786
24min 4sec,2.786
24min 8sec,2.786
24min 12sec,2.783
24min 16sec,2.786
24min 20sec,2.786
24min 24sec,2.786
24min 28sec,2.786
24min 32sec,2.786
24min 36sec,2.786
24min 40sec,2.786
24min 44sec,2.786
24min 48sec,2.783
24min 52sec,2.786
24min 56sec,2.786
25min,2.78
25min 4sec,2.783
25min 8sec,2.786
25min 12sec,2.783
25min 16sec,2.78
25min 20sec,2.783
25min 24sec,2.783
25min 28sec,2.783
25min 32sec,2.783
25min 36sec,2.783
25min 40sec,2.783
25min 44sec,2.78
25min 48sec,2.783
25min 52sec,2.783
25min 56sec,2.783
26min,2.777
26min 4sec,2.783
26min 8sec,2.78
26min 12sec,2.78
26min 16sec,2.78
26min 20sec,2.777
26min 24sec,2.777
26min 28sec,2.777
26min 32sec,2.777
26min 36sec,2.777
26min 40sec,2.78
26min 44sec,2.777
26min 48sec,2.777
26min 52sec,2.777
26min 56sec,2.771
27min,2.777
27min 4sec,2.777
27min 8sec,2.771
27min 12sec,2.771
27min 16sec,2.771
27min 20sec,2.771
27min 24sec,2.771
27min 28sec,2.771
27min 32sec,2.771
27min 36sec,2.769
27min 40sec,2.771
27min 44sec,2.771
27min 48sec,2.769
27min 52sec,2.771
27min 56sec,2.771
28min,2.769
28min 4sec,2.769
28min 8sec,2.771
28min 12sec,2.769
28min 16sec,2.771
28min 20sec,2.771
28min 24sec,2.771
28min 28sec,2.769
28min 32sec,2.771
28min 36sec,2.771
28min 40sec,2.771
28min 44sec,2.769
28min 48sec,2.769
28min 52sec,2.769
28min 56sec,2.771
29min,2.769
29min 4sec,2.769
29min 8sec,2.769
29min 12sec,2.769
29min 16sec,2.769
29min 20sec,2.769
29min 24sec,2.769
29min 28sec,2.769
29min 32sec,2.769
29min 36sec,2.766
29min 40sec,2.769
29min 44sec,2.769
29min 48sec,2.769
29min 52sec,2.769
29min 56sec,2.769
30min,2.769
30min 4sec,2.769
30min 8sec,2.766
30min 12sec,2.766
30min 16sec,2.769
30min 20sec,2.769
30min 24sec,2.766
30min 28sec,2.766
30min 32sec,2.769
30min 36sec,2.769
30min 40sec,2.766
30min 44sec,2.763
30min 48sec,2.769
30min 52sec,2.769
30min 56sec,2.76
31min,2.766
31min 4sec,2.766
31min 8sec,2.76
31min 12sec,2.766
31min 16sec,2.766
31min 20sec,2.766
31min 24sec,2.76
31min 28sec,2.763
31min 32sec,2.763
31min 36sec,2.763
31min 40sec,2.763
31min 44sec,2.766
31min 48sec,2.763
31min 52sec,2.763
31min 56sec,2.766
32min,2.766
32min 4sec,2.76
32min 8sec,2.76
32min 12sec,2.766
32min 16sec,2.76
32min 20sec,2.763
32min 24sec,2.76
32min 28sec,2.76
32min 32sec,2.76
32min 36sec,2.766
32min 40sec,2.76
32min 44sec,2.763
32min 48sec,2.757
32min 52sec,2.76
32min 56sec,2.76
33min,2.757
33min 4sec,2.76
33min 8sec,2.76
33min 12sec,2.76
33min 16sec,2.76
33min 20sec,2.76
33min 24sec,2.76
33min 28sec,2.754
33min 32sec,2.76
33min 36sec,2.757
33min 40sec,2.757
33min 44sec,2.757
33min 48sec,2.76
33min 52sec,2.757
33min 56sec,2.76
34min,2.754
34min 4sec,2.757
34min 8sec,2.757
34min 12sec,2.757
34min 16sec,2.757
34min 20sec,2.757
34min 24sec,2.76
34min 28sec,2.76
34min 32sec,2.757
34min 36sec,2.757
34min 40sec,2.757
34min 44sec,2.757
34min 48sec,2.757
